seller_id,seller_zip_code_prefix,seller_city,seller_state
ec8879960bd2221d5c32f8e12f7da711,13253,itatiba,SP
343e716476e3748b069f980efbaa294e,13033,campinas,SP
33ab10be054370c254ddfcf0a6253422,22790,rio de janeiro,RJ
9bc484c87d79cd4874e05ca182658045,02422,sao paulo,SP
dfc475d54e1b6dbeeb7d7d9bdaa63827,81460,curitiba,PR
1b7e5006cb25dd23ce8686691013b121,02350,sao paulo,SP
1ce3ae5a399804d1a87e706f8a813c3e,88715,jaguaruna,SC
42fa4ee7240e9b8eb4576358ec142ba7,95012,caxias do sul,RS
fe1bbc5feda5c8979a8a1b3b2512d5a6,38680,arinos,MG
651fe66032c9520ee5587f694908040d,94810,alvorada,RS
d93844a9c55ba7ce353388bcf849ea56,82320,curitiba,PR
2c9005d8043aff18b8557ffb7b13cda4,29304,cachoeiro de itapemirim,ES
612a743d294c27884fb7b80d2b19ba35,80620,curitiba,PR
b6c6854d4d92a5f6f46be8869da3fa1a,01042,sao paulo,SP
ebd1417732defaf66c50b5a800eb293e,86047,londrina,PR
bc8c8d665ec4664d286be0d521722b19,04851,sao paulo,SP
32f1bb9dfa65bc7df5c0d9d95a616be4,04705,sao paulo,SP
11fb6f6d341adbe19e81733701704635,04133,sao paulo,SP
5b2e94f2c22b39ccc24d34ad0f669672,01214,sao paulo,SP
0b1ca3ef18a63d7eb0c8897fa0849c08,18131,sao roque,SP
a0d7fbb07bb5ebc3b05980e750db56f3,08500,ferraz de vasconcelos,SP
8378eb36b6b70c5734e83ad7b8cdc3b7,88301,itajai,SC
3d01d1c414c44b5943a09619ff3853cb,13040,campinas,SP
34675b28b826facfde119785bf287dc1,85802,cascavael,PR
bba8d0c234a52b87b3957037a215d1a4,74343,goiania,GO
9616352088dcf83a7c06637f4ebf1c80,87504,umuarama,PR
c9d2ba8dde44a275ae06475ed1d2fafc,38400,uberlandia,MG
8bdd8e3fd58bafa48af76b2c5fd71974,01552,sao paulo,SP
8b321bb669392f5163d04c59e235e066,01212,sao paulo,SP
f0837c8d71434931d9e38e7b79234797,95995,arvorezinha,RS
18a349e75d307f4b4cc646a691ed4216,01319,sao paulo,SP
822166ed1e47908f7cfb49946d03c726,25803,tres rios,RJ
