product_id,product_category_name,product_name_length,product_description_length,product_photos_qty,first_sale_date,last_sale_date,lifecycle_duration_days,lifecycle_stage,total_orders,total_revenue,total_freight,months_with_sales,avg_monthly_orders,avg_order_value,freight_ratio,sales_velocity,revenue_velocity
c180a83edb2d145ec2f9b10cbd61feb5,brinquedos,60,915,5,2017-05-07 12:41:14,2017-05-11 00:53:06,3,New,2,239.8,43.980000000000004,1,2.0,119.9,0.1834028356964137,0.6666666666666666,79.93333333333334
30e2b9deadd5211496426065065c71a7,bebes,51,1158,1,2018-04-05 11:05:44,2018-07-28 21:59:02,114,Mature,6,354.0,103.78,3,2.0,59.0,0.2931638418079096,0.05263157894736842,3.1052631578947367
25b5e375efa4812d72aa608b5379bc45,ferramentas_jardim,45,443,1,2017-11-17 13:12:02,2017-11-17 13:12:02,0,New,1,50.75,14.11,1,1.0,50.75,0.2780295566502463,0.0,0.0
3e824028352cd013af85473283f832ce,beleza_saude,54,971,1,2018-06-11 14:07:58,2018-08-03 14:57:40,53,Growth,4,838.0,86.36,3,1.3333333333333333,209.5,0.10305489260143198,0.07547169811320754,15.81132075471698
979c36deada6af57d4f1d9b85a60978c,livros_interesse_geral,32,1749,4,2017-05-01 18:45:32,2017-05-01 18:45:32,0,New,1,99.5,15.91,1,1.0,99.5,0.15989949748743718,0.0,0.0
c224f464aeeb2c6af33f0682a181efa7,utilidades_domesticas,60,1809,1,2017-10-15 09:40:07,2018-04-12 17:23:10,179,Mature,4,482.57,127.11000000000001,3,1.3333333333333333,120.6425,0.26340220071699444,0.0223463687150838,2.695921787709497
fcb300f1ac9a1231f70f3d2be2db9af2,cama_mesa_banho,50,475,1,2018-07-31 09:46:41,2018-07-31 09:46:41,0,New,1,69.97,19.68,1,1.0,69.97,0.28126339859939975,0.0,0.0
62f9a2fb6e52ef49cef0254cecab4ba7,relogios_presentes,36,659,1,2018-02-06 14:01:43,2018-02-06 14:01:43,0,New,1,146.0,15.77,1,1.0,146.0,0.10801369863013699,0.0,0.0
67d1732a904be023de826d53879c3534,cama_mesa_banho,56,134,2,2018-05-11 13:09:46,2018-05-11 13:09:46,0,New,1,37.0,18.23,1,1.0,37.0,0.4927027027027027,0.0,0.0
801a8823d2fb3157110897e1af035a5d,eletroportateis,47,776,6,2018-02-12 18:10:07,2018-02-21 20:16:54,9,New,3,297.0,58.79,1,3.0,99.0,0.19794612794612795,0.3333333333333333,33.0
aafec8ef0f0e7bf2f2b811450df61818,fashion_bolsas_e_acessorios,52,437,6,2016-10-06 18:50:25,2016-10-06 18:50:25,0,New,2,49.8,45.86,1,2.0,24.9,0.9208835341365462,0.0,0.0
8ef18e8943b9f07649b045b72df449cb,brinquedos,57,892,3,2017-08-02 10:36:10,2017-11-13 12:22:24,103,Mature,5,464.95,110.84,2,2.5,92.99,0.2383912248628885,0.04854368932038835,4.514077669902912
8c0794180bc059d1af097905d7352cfa,livros_tecnicos,25,1002,1,2017-09-13 21:29:13,2017-09-13 21:29:13,0,New,1,99.0,25.14,1,1.0,99.0,0.25393939393939396,0.0,0.0
b8fdfcbb0ed03c62d197327a56593842,esporte_lazer,42,852,2,2017-07-18 12:38:09,2017-07-18 12:38:09,0,New,1,69.99,7.78,1,1.0,69.99,0.11115873696242322,0.0,0.0
2e7fb5448f9e5ef6939e305aa9b8d999,telefonia,49,1568,1,2017-08-20 16:19:21,2017-08-20 16:19:21,0,New,1,12.97,15.1,1,1.0,12.97,1.164225134926754,0.0,0.0
f82a4b08cf7b2bf375fb77e519231f9a,moveis_decoracao,53,553,1,2017-03-16 11:36:00,2017-03-16 11:36:00,0,New,1,97.9,29.62,1,1.0,97.9,0.3025536261491318,0.0,0.0
f8dc3e347e9b954a84d1d5e42b500e4c,market_place,35,498,2,2017-02-08 14:41:53,2017-12-18 15:24:37,313,Decline,5,58.0,74.93,4,1.25,11.6,1.291896551724138,0.01597444089456869,0.1853035143769968
e2c49770bf52260e9960ccefdd38e960,beleza_saude,45,1031,1,2018-07-21 21:32:15,2018-07-21 21:32:15,0,New,3,89.69999999999999,45.93,1,3.0,29.899999999999995,0.5120401337792643,0.0,0.0
d176ffad05e4e7fd2de465fbdecc7582,moveis_decoracao,32,2370,3,2018-08-17 12:05:12,2018-08-17 12:05:12,0,New,1,70.0,9.24,1,1.0,70.0,0.132,0.0,0.0
6856ab01ef22301e08a45d5842ccb247,cama_mesa_banho,59,271,1,2017-03-15 16:38:56,2018-04-26 07:49:45,406,Decline,6,779.4000000000001,96.19999999999999,6,1.0,129.9,0.12342827816268923,0.014778325123152709,1.9197044334975373
6dec7460535602c112ecd2f96cf2d617,informatica_acessorios,55,393,1,2018-06-13 16:26:53,2018-06-13 16:26:53,0,New,2,338.0,30.96,1,2.0,169.0,0.09159763313609467,0.0,0.0
9c1e194db1d35a79d962ea610bfe0868,perfumaria,40,871,1,2018-05-15 17:41:00,2018-05-15 17:41:00,0,New,1,15.5,12.79,1,1.0,15.5,0.8251612903225806,0.0,0.0
36c2d6cd6fd0a6720f3ebe3379a2032d,moveis_decoracao,63,1927,1,2017-01-28 13:23:50,2017-01-28 13:23:50,0,New,1,99.99,50.0,1,1.0,99.99,0.5000500050005001,0.0,0.0
3af8628b6057e15cb18b8421d7b82533,moveis_decoracao,33,1097,2,2018-07-10 20:36:54,2018-07-10 20:36:54,0,New,1,69.0,18.63,1,1.0,69.0,0.26999999999999996,0.0,0.0
fcf64c72035fc6f17660bae96c933ffb,perfumaria,31,395,1,2017-09-01 14:01:04,2017-09-01 14:01:04,0,New,1,35.9,12.48,1,1.0,35.9,0.3476323119777159,0.0,0.0
5d9b91e8dc83f3caa1cadaf14cd68660,beleza_saude,51,1170,1,2017-12-23 12:09:23,2017-12-23 12:09:23,0,New,1,54.49,11.73,1,1.0,54.49,0.2152688566709488,0.0,0.0
8bd822c04ee6a8292a7b0debc3dbd74a,construcao_ferramentas_seguranca,58,1062,4,2018-08-18 22:34:41,2018-08-18 22:34:41,0,New,1,99.0,15.79,1,1.0,99.0,0.1594949494949495,0.0,0.0
b26309a170c13aac40126a8ef3400e07,moveis_decoracao,22,425,2,2018-01-12 18:38:46,2018-01-12 18:38:46,0,New,1,34.0,15.1,1,1.0,34.0,0.4441176470588235,0.0,0.0
0a27862bbf658a5b8cf655761bc5c72d,agro_industria_e_comercio,53,642,1,2018-07-31 20:20:14,2018-07-31 20:20:14,0,New,1,51.73,66.89,1,1.0,51.73,1.2930601198530833,0.0,0.0
913b240ad06c85be83709dffc26d59f6,automotivo,39,77,1,2018-01-07 17:42:11,2018-01-07 17:42:11,0,New,1,37.9,52.71,1,1.0,37.9,1.390765171503958,0.0,0.0
67352926da43ede7a129a72ed744bc74,moveis_decoracao,43,1992,1,2018-02-21 12:09:19,2018-02-25 13:05:21,4,New,3,84.0,43.989999999999995,1,3.0,28.0,0.5236904761904762,0.75,21.0
a41e24aae442561fb4a9ef505ff1d55f,papelaria,36,495,1,2018-04-26 15:22:36,2018-07-13 12:59:18,77,Growth,2,55.5,22.68,2,1.0,27.75,0.40864864864864864,0.025974025974025976,0.7207792207792207
86f8507285c074360ac0969d4a664895,fashion_bolsas_e_acessorios,59,409,3,2017-05-01 18:25:20,2017-08-15 00:33:03,105,Mature,2,79.8,25.060000000000002,2,1.0,39.9,0.3140350877192983,0.01904761904761905,0.76
30b6868bde148b4c71716da3f1cdd9e3,bebes,18,1383,4,2017-04-02 07:26:56,2018-01-09 15:07:01,282,Decline,8,539.2,139.89,5,1.6,67.4,0.2594399109792284,0.028368794326241134,1.9120567375886526
dd735a55e6c75fb8fbe93e14d1c3bf07,utilidades_domesticas,48,527,2,2017-10-09 18:47:07,2017-10-09 18:47:07,0,New,1,26.9,15.1,1,1.0,26.9,0.5613382899628253,0.0,0.0
f6a00327e33d86dea4cd7175577dd8b9,automotivo,44,361,1,2017-12-11 16:44:24,2017-12-11 16:44:24,0,New,1,29.9,14.61,1,1.0,29.9,0.48862876254180604,0.0,0.0
df6d00c24fc224b84e9ad17708d0f4d7,cama_mesa_banho,53,495,1,2018-02-12 19:22:50,2018-08-10 22:28:27,179,Mature,3,129.0,45.89,3,1.0,43.0,0.3557364341085271,0.01675977653631285,0.7206703910614525
e69de7cd67f5bb13797a8530acd9c711,cama_mesa_banho,42,184,1,2017-11-03 14:48:02,2017-12-04 19:30:41,31,Growth,2,156.5,29.85,2,1.0,78.25,0.19073482428115016,0.06451612903225806,5.048387096774194
584c7a0f5da1770ba58350c8d8176b45,automotivo,57,1031,4,2018-04-09 19:04:17,2018-04-09 19:04:17,0,New,1,439.9,19.79,1,1.0,439.9,0.0449874971584451,0.0,0.0
a74d56e3486a7ddc68958695a48277d1,automotivo,39,249,2,2017-04-29 14:34:26,2017-04-29 14:34:26,0,New,1,279.99,75.12,1,1.0,279.99,0.26829529626058074,0.0,0.0
f2317e7dd5b1b4dea36595ff6db6f14b,UNKNOWN,0,0,0,2017-05-15 10:10:59,2017-07-29 15:38:47,75,Growth,2,74.8,17.95,2,1.0,37.4,0.23997326203208555,0.02666666666666667,0.9973333333333333
70e0d082134b563e2977cf5f268ad3f9,esporte_lazer,59,471,2,2018-07-07 21:15:11,2018-07-07 21:15:11,0,New,1,29.99,12.87,1,1.0,29.99,0.42914304768256084,0.0,0.0
0ff85f553a8763acea7d184bdff70e13,eletronicos,51,865,1,2018-02-08 09:41:27,2018-02-08 09:41:27,0,New,2,64.0,23.7,1,2.0,32.0,0.3703125,0.0,0.0
20a5aefe5c61d9047acc46a0970e4908,utilidades_domesticas,41,218,1,2018-01-03 10:48:57,2018-03-12 16:43:08,68,Growth,3,177.7,48.72,3,1.0,59.23333333333333,0.2741699493528419,0.04411764705882353,2.613235294117647
aae7281498244a475eb36eec95c9a859,beleza_saude,55,989,1,2017-06-15 21:08:16,2017-06-15 21:08:16,0,New,1,109.0,30.29,1,1.0,109.0,0.2778899082568807,0.0,0.0
f6129fe69e08f8a94a3ab1e72d9394b6,beleza_saude,44,299,1,2018-02-16 17:59:43,2018-06-17 10:38:59,120,Mature,2,441.98,48.83,2,1.0,220.99,0.1104801122222725,0.016666666666666666,3.6831666666666667
8931caf4a2050f6d1229b3599b2342c2,beleza_saude,25,168,1,2018-04-24 02:29:25,2018-04-24 02:29:25,0,New,1,25.4,18.23,1,1.0,25.4,0.7177165354330709,0.0,0.0
0e482d9064073154832a2311c821c668,moveis_decoracao,32,191,1,2018-08-17 09:07:53,2018-08-17 09:07:53,0,New,1,34.9,19.43,1,1.0,34.9,0.5567335243553009,0.0,0.0
c7f94c1833b036167fcebd72310a4e5d,cama_mesa_banho,57,452,3,2017-07-03 15:10:37,2018-01-17 16:32:43,198,Decline,2,128.89000000000001,35.41,2,1.0,64.44500000000001,0.27473039025525636,0.010101010101010102,0.6509595959595961
a203dd46978039dcbd6329a71112f09a,eletroportateis,54,361,1,2017-02-09 20:26:53,2017-04-10 13:09:48,59,Growth,2,288.0,113.63,2,1.0,144.0,0.3945486111111111,0.03389830508474576,4.88135593220339
c55c77207af4d2ce4b0c54740f4ee7f3,beleza_saude,23,296,1,2017-05-12 12:35:41,2017-05-12 12:35:41,0,New,1,44.9,14.1,1,1.0,44.9,0.3140311804008909,0.0,0.0
5c134d92a99c77b568ae488b28a04c45,construcao_ferramentas_seguranca,59,1812,4,2018-08-15 16:30:22,2018-08-15 16:30:22,0,New,1,112.01,15.88,1,1.0,112.01,0.1417730559771449,0.0,0.0
14086fd4907ab4135efce70c2cd3c013,UNKNOWN,0,0,0,2018-03-20 18:28:22,2018-03-20 18:28:22,0,New,1,99.9,15.65,1,1.0,99.9,0.15665665665665665,0.0,0.0
231081927a13592c84df280baf744393,moveis_decoracao,58,2186,2,2018-07-31 19:30:23,2018-08-03 20:58:38,3,New,2,80.0,22.92,2,1.0,40.0,0.28650000000000003,0.6666666666666666,26.666666666666668
d8f254be723da6488610b42935533b05,relogios_presentes,57,239,4,2017-09-22 12:27:30,2018-07-31 14:49:15,312,Decline,12,888.0,180.22,7,1.7142857142857142,74.0,0.20295045045045046,0.038461538461538464,2.8461538461538463
f688535e8e2f269c27dfb305d8e6ffbd,utilidades_domesticas,59,786,5,2018-05-14 18:04:13,2018-05-24 09:38:53,9,New,6,578.0,118.22,1,6.0,96.33333333333333,0.20453287197231834,0.6666666666666666,64.22222222222223
fe6f03cedd96bcbc5c8726c5963fd35c,cama_mesa_banho,48,639,1,2017-07-14 18:29:40,2018-04-27 03:45:31,286,Decline,3,164.97,65.47,2,1.5,54.99,0.3968600351579075,0.01048951048951049,0.5768181818181818
779e74ce337266c06bf392935ab34bc8,alimentos_bebidas,59,459,2,2018-08-06 21:40:05,2018-08-06 21:40:05,0,New,1,26.0,7.44,1,1.0,26.0,0.28615384615384615,0.0,0.0
d6def90f2db6db438426d0434ba7c190,esporte_lazer,34,231,1,2018-03-06 14:15:52,2018-03-06 14:15:52,0,New,1,217.56,19.45,1,1.0,217.56,0.08940062511491083,0.0,0.0
7fbbe412c783af7237d40b9145aa5a8b,ferramentas_jardim,51,204,1,2018-04-17 11:49:48,2018-04-17 11:49:48,0,New,1,25.99,21.01,1,1.0,25.99,0.8083878414774914,0.0,0.0
ee5329ffbe604bebcf84b2fd7792024e,beleza_saude,53,84,1,2017-06-23 12:52:21,2018-07-25 10:31:43,396,Decline,17,3378.0,313.18,5,3.4,198.7058823529412,0.09271166370633512,0.04292929292929293,8.530303030303031
5f6b99538b396c18e5e310c2c187dc8d,beleza_saude,28,662,1,2018-07-31 17:01:59,2018-07-31 17:01:59,0,New,1,199.9,11.35,1,1.0,199.9,0.056778389194597295,0.0,0.0
e8f1f23c31482d8f798aaa64733e85d9,telefonia,21,1213,2,2017-07-06 00:02:22,2017-07-06 00:02:22,0,New,1,160.0,26.4,1,1.0,160.0,0.16499999999999998,0.0,0.0
a1a97164f38cfb98511eb68e6b40ad94,informatica_acessorios,60,640,1,2017-10-04 08:17:30,2018-04-21 16:45:16,199,Decline,8,553.42,140.26,5,1.6,69.1775,0.2534422319395757,0.04020100502512563,2.7810050251256277
af4ac0dfebf1f96903c52fe25a51e6d3,automotivo,54,646,5,2018-05-15 22:33:45,2018-05-15 22:33:45,0,New,1,118.8,19.8,1,1.0,118.8,0.16666666666666669,0.0,0.0
dfd57e4f6b146266a765a285fac364ed,esporte_lazer,26,192,1,2017-07-04 19:59:17,2017-07-04 19:59:17,0,New,1,35.99,8.72,1,1.0,35.99,0.24228952486801889,0.0,0.0
